,,0
stats_neutralMinionsKilledEnemyJungle,stats_physicalDamageTaken,0.38389138601016826
stats_goldSpent,stats_trueDamageDealtToChampions,0.38340261298162703
stats_magicDamageDealt,stats_totalDamageDealt,0.38257855020317644
stats_perk2,stats_physicalDamageDealt,0.38156522376513213
stats_damageDealtToTurrets,stats_killingSprees,0.3803526475027841
stats_goldEarned,stats_largestCriticalStrike,0.3791008829626442
stats_killingSprees,stats_physicalDamageTaken,0.37866768242002213
stats_killingSprees,stats_turretKills,0.3771862715632084
stats_champLevel,stats_trueDamageTaken,0.3765037150767561
stats_largestMultiKill,stats_quadraKills,0.37622690405488735
stats_goldSpent,stats_trueDamageTaken,0.3762065955152338
stats_physicalDamageDealt,stats_physicalDamageTaken,0.37546834484867647
stats_largestKillingSpree,stats_physicalDamageDealt,0.3752380875486285
stats_damageDealtToObjectives,stats_largestMultiKill,0.373855928787111
stats_physicalDamageDealtToChampions,stats_physicalDamageTaken,0.3715959160210883
stats_physicalDamageDealt,stats_totalDamageTaken,0.37064747776062107
stats_champLevel,stats_magicDamageDealt,0.3706231144752116
stats_playerScore6,stats_playerScore7,0.37054728498379846
stats_damageDealtToObjectives,stats_perk3Var1,0.37011100726148766
stats_totalDamageTaken,stats_trueDamageDealtToChampions,0.36935660889288047
stats_largestMultiKill,stats_physicalDamageDealt,0.36844677945806725
stats_damageDealtToObjectives,stats_doubleKills,0.3674539245203674
stats_kills,stats_trueDamageDealtToChampions,0.36623470108513323
stats_damageSelfMitigated,stats_totalDamageDealt,0.36617685600938765
stats_perk1Var1,stats_totalDamageDealt,0.36564194740922595
stats_perkPrimaryStyle,stats_visionWardsBoughtInGame,0.3638508133791642
stats_champLevel,stats_magicDamageDealtToChampions,0.3625249371044548
stats_perk2,stats_physicalDamageDealtToChampions,0.36191384204199545
stats_killingSprees,stats_perk1Var1,0.3616311125083335
stats_totalDamageDealt,stats_trueDamageDealt,0.36159342223608004
stats_magicDamageDealtToChampions,stats_perk0Var1,0.3606879314490837
stats_goldSpent,stats_largestCriticalStrike,0.3600506553033015
stats_statPerk1,stats_totalDamageDealt,0.35959207972000734
stats_damageDealtToTurrets,stats_doubleKills,0.3593972190822367
stats_totalDamageDealtToChampions,stats_trueDamageTaken,0.3586044116235909
stats_damageDealtToTurrets,stats_largestCriticalStrike,0.3575658033897329
stats_kills,stats_neutralMinionsKilledEnemyJungle,0.35730032853572613
stats_damageDealtToTurrets,stats_largestMultiKill,0.357207581138037
stats_goldEarned,stats_trueDamageTaken,0.35718109282192945
stats_magicalDamageTaken,stats_trueDamageTaken,0.3568959384428242
stats_killingSprees,stats_perk3Var1,0.35556257793211227
stats_physicalDamageTaken,stats_trueDamageDealtToChampions,0.35488244234226796
stats_largestCriticalStrike,stats_totalMinionsKilled,0.3533193863519755
stats_damageDealtToTurrets,stats_perk1Var1,0.3516236677190678
stats_assists,stats_champLevel,0.35161184069678797
stats_doubleKills,stats_physicalDamageDealt,0.3509259290269579
stats_largestMultiKill,stats_turretKills,0.3503013613601892
stats_goldEarned,stats_neutralMinionsKilledEnemyJungle,0.34882202310542476
stats_doubleKills,stats_turretKills,0.3474692998841907
stats_perk0Var2,stats_perk0Var3,0.34540556986908183
stats_perk2Var2,stats_physicalDamageDealt,0.3451521445939035
stats_assists,stats_totalUnitsHealed,0.3445886945673328
stats_playerScore6,stats_playerScore9,0.34440466627051053
stats_magicDamageDealt,stats_totalDamageDealtToChampions,0.34427980993590335
stats_champLevel,stats_doubleKills,0.3428277084712063
stats_damageDealtToObjectives,stats_largestCriticalStrike,0.3418132332994801
stats_totalDamageDealtToChampions,stats_tripleKills,0.34172583748374796
stats_totalDamageDealtToChampions,stats_totalHeal,0.3412344016592705
stats_timeCCingOthers,stats_visionScore,0.34103113044005867
stats_largestKillingSpree,stats_neutralMinionsKilledEnemyJungle,0.34101112499700853
stats_champLevel,stats_longestTimeSpentLiving,0.3391917299492742
stats_perk1Var1,stats_perk1Var2,0.33714559789510606
stats_kills,stats_totalMinionsKilled,0.3361198346286829
stats_deaths,stats_trueDamageTaken,0.33576907194812006
stats_totalDamageDealt,stats_trueDamageDealtToChampions,0.333703980728176
stats_neutralMinionsKilledEnemyJungle,stats_totalDamageTaken,0.3323688594691404
stats_assists,stats_perkPrimaryStyle,0.33114590627442253
stats_champLevel,stats_totalTimeCrowdControlDealt,0.33059042856499954
stats_goldEarned,stats_tripleKills,0.3304933840447168
stats_champLevel,stats_perk3Var1,0.3283357686724947
stats_damageSelfMitigated,stats_perk1,0.32451429355765443
stats_largestCriticalStrike,stats_turretKills,0.3233406113620372
stats_doubleKills,stats_perk1Var1,0.3211668266560438
stats_goldEarned,stats_item5,0.3202089949566446
stats_perk1Var1,stats_totalDamageTaken,0.3201994139071605
stats_champLevel,stats_trueDamageDealtToChampions,0.3200786639858791
stats_goldSpent,stats_neutralMinionsKilledEnemyJungle,0.31842836269280783
stats_largestKillingSpree,stats_perk3Var1,0.3180522394739696
stats_damageSelfMitigated,stats_deaths,0.31733718347198364
stats_perk1Var1,stats_turretKills,0.3171783820432583
stats_goldSpent,stats_magicDamageDealtToChampions,0.31696113722631264
stats_timeCCingOthers,stats_wardsPlaced,0.3162877081205999
stats_perk1,stats_perk2Var2,0.3161379353925335
stats_perk2Var2,stats_physicalDamageDealtToChampions,0.3158551023336238
stats_goldEarned,stats_magicDamageDealtToChampions,0.31438327866248933
stats_magicalDamageTaken,stats_totalTimeCrowdControlDealt,0.31412597378194435
stats_largestMultiKill,stats_perk1Var1,0.31327607927558077
stats_kills,stats_totalHeal,0.3130753119059602
stats_doubleKills,stats_perk3Var1,0.3130144048155224
stats_killingSprees,stats_tripleKills,0.3128347151466282
stats_goldEarned,stats_inhibitorKills,0.31238451928509336
stats_totalUnitsHealed,stats_wardsKilled,0.3120008412605982
stats_totalDamageDealt,stats_totalTimeCrowdControlDealt,0.3117346851198738
stats_killingSprees,stats_trueDamageDealtToChampions,0.31159039713563463
stats_killingSprees,stats_neutralMinionsKilledEnemyJungle,0.3114395799533449
stats_kills,stats_largestCriticalStrike,0.3107051732183106
stats_killingSprees,stats_totalMinionsKilled,0.31023891642192486
stats_kills,stats_magicalDamageTaken,0.31005460851698785
stats_goldSpent,stats_magicDamageDealt,0.30961074965642854
stats_trueDamageDealt,stats_trueDamageDealtToChampions,0.30905373906608974
stats_perk0,stats_perk5,0.3087959794618413
stats_timeCCingOthers,stats_visionWardsBoughtInGame,0.3087883853364248
stats_goldEarned,stats_magicDamageDealt,0.3087474272349961
stats_goldSpent,stats_item5,0.3084884813206673
stats_perk1Var1,stats_perk2Var2,0.30848558143898686
stats_neutralMinionsKilledTeamJungle,stats_trueDamageDealt,0.30686343900550916
stats_largestKillingSpree,stats_perk1Var1,0.30667195679105835
stats_physicalDamageDealtToChampions,stats_trueDamageDealtToChampions,0.30532045219562726
stats_neutralMinionsKilled,stats_trueDamageDealt,0.3052318227062786
stats_champLevel,stats_item5,0.3050467811514114
stats_goldEarned,stats_item4,0.3040400070632194
stats_goldSpent,stats_tripleKills,0.302733372157896
stats_largestMultiKill,stats_totalMinionsKilled,0.2984408495568399
stats_champLevel,stats_item4,0.2969980186136101
stats_largestCriticalStrike,stats_totalDamageDealtToChampions,0.2962422438017245
stats_largestMultiKill,stats_perk3Var1,0.2948338393486805
stats_perk3Var1,stats_totalHeal,0.29430675554777863
stats_damageDealtToObjectives,stats_inhibitorKills,0.29411325076177297
stats_magicDamageDealt,stats_totalTimeCrowdControlDealt,0.29407233504793795
stats_champLevel,stats_neutralMinionsKilledEnemyJungle,0.29291085050098625
stats_goldSpent,stats_item4,0.292847900678683
stats_damageSelfMitigated,stats_perk1Var1,0.29274142944457954
stats_assists,stats_totalHeal,0.291710571939116
stats_goldEarned,stats_longestTimeSpentLiving,0.2907761532634074
stats_timeCCingOthers,stats_totalDamageTaken,0.2901591826684878
stats_damageDealtToObjectives,stats_trueDamageDealtToChampions,0.29004867845195575
stats_killingSprees,stats_magicalDamageTaken,0.28959365513242175
stats_champLevel,stats_perk0Var1,0.28867023833696764
stats_perk0Var1,stats_totalDamageDealtToChampions,0.2886481006184017
stats_magicDamageDealt,stats_neutralMinionsKilledTeamJungle,0.2885189953564099
stats_perk3,stats_perk3Var2,0.28825396000332804
stats_magicDamageDealt,stats_neutralMinionsKilled,0.28780604417774586
stats_magicalDamageTaken,stats_timeCCingOthers,0.28751783050787744
stats_magicalDamageTaken,stats_physicalDamageDealtToChampions,0.28639837434159804
stats_damageSelfMitigated,stats_trueDamageDealtToChampions,0.2861115967511172
